Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke_Datafiles,Chrome 106.0.0.0,,,2022-10-24 13:56:08,2022-10-24 13:57:08,1m - 0.003s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 13:56:09,2022-10-24 13:56:24,15.098s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 13:56:09,2022-10-24 13:56:12,3.352s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 13:56:12,2022-10-24 13:56:12,0.163s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Chrome 106.0.0.0,,,2022-10-24 13:56:12,2022-10-24 13:56:13,0.052s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Chrome 106.0.0.0,,,2022-10-24 13:56:13,2022-10-24 13:56:13,0.038s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Chrome 106.0.0.0,,,2022-10-24 13:56:13,2022-10-24 13:56:13,0.034s,PASSED
"setText(input_FirstName, first_name)",Chrome 106.0.0.0,,,2022-10-24 13:56:13,2022-10-24 13:56:13,0.680s,PASSED
"setText(input_LastName, last_name)",Chrome 106.0.0.0,,,2022-10-24 13:56:13,2022-10-24 13:56:14,0.604s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex""))",Chrome 106.0.0.0,,,2022-10-24 13:56:14,2022-10-24 13:56:14,0.388s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp""))",Chrome 106.0.0.0,,,2022-10-24 13:56:14,2022-10-24 13:56:15,0.347s,PASSED
"setText(input_Date, date)",Chrome 106.0.0.0,,,2022-10-24 13:56:15,2022-10-24 13:56:15,0.619s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession""))",Chrome 106.0.0.0,,,2022-10-24 13:56:15,2022-10-24 13:56:16,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1""))",Chrome 106.0.0.0,,,2022-10-24 13:56:16,2022-10-24 13:56:16,0.360s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool""))",Chrome 106.0.0.0,,,2022-10-24 13:56:16,2022-10-24 13:56:16,0.346s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_AsiaEuropeAfricaAustraliaSouth Ameri_982c86""), ""North America"", true)",Chrome 106.0.0.0,,,2022-10-24 13:56:16,2022-10-24 13:56:21,4.336s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""Browser Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:56:21,2022-10-24 13:56:22,1.383s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""WebElement Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:56:22,2022-10-24 13:56:23,1.056s,PASSED
