Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke_Datafiles,Chrome 106.0.0.0,,,2022-10-24 14:35:09,2022-10-24 14:36:17,1m - 8.348s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 14:35:09,2022-10-24 14:35:41,32.396s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 14:35:09,2022-10-24 14:35:33,23.680s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.146s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.066s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.040s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.040s,PASSED
"input_Gender = findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.047s,PASSED
"radio_YoE = findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.043s,PASSED
"radio_Automation = findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.057s,PASSED
"radio_Manual = findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.035s,PASSED
"radio_Selenium = findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.041s,PASSED
"sel_Region = findTestObject(""Object Repository/Page_FillUpForm/select_AsiaEuropeAfricaAustraliaSouth Ameri_982c86"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.036s,PASSED
"sel_skills = findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390"")",Chrome 106.0.0.0,,,2022-10-24 14:35:33,2022-10-24 14:35:33,0.033s,PASSED
