Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke_Datafiles,Chrome 106.0.0.0,,,2022-10-24 13:42:58,2022-10-24 13:43:58,1m - 0.031s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 13:42:58,2022-10-24 13:43:21,23.149s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 13:42:59,2022-10-24 13:43:06,7.036s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 13:43:06,2022-10-24 13:43:06,0.160s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Chrome 106.0.0.0,,,2022-10-24 13:43:06,2022-10-24 13:43:06,0.054s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Chrome 106.0.0.0,,,2022-10-24 13:43:06,2022-10-24 13:43:06,0.044s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Chrome 106.0.0.0,,,2022-10-24 13:43:06,2022-10-24 13:43:06,0.036s,PASSED
"setText(input_FirstName, ""Guillermo"")",Chrome 106.0.0.0,,,2022-10-24 13:43:06,2022-10-24 13:43:13,7.217s,PASSED
"setText(input_LastName, ""Perez"")",Chrome 106.0.0.0,,,2022-10-24 13:43:13,2022-10-24 13:43:14,0.961s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex""))",Chrome 106.0.0.0,,,2022-10-24 13:43:14,2022-10-24 13:43:15,0.465s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp""))",Chrome 106.0.0.0,,,2022-10-24 13:43:15,2022-10-24 13:43:15,0.343s,PASSED
"setText(input_Date, ""14/07/1993"")",Chrome 106.0.0.0,,,2022-10-24 13:43:15,2022-10-24 13:43:16,0.616s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession""))",Chrome 106.0.0.0,,,2022-10-24 13:43:16,2022-10-24 13:43:16,0.673s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1""))",Chrome 106.0.0.0,,,2022-10-24 13:43:16,2022-10-24 13:43:17,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool""))",Chrome 106.0.0.0,,,2022-10-24 13:43:17,2022-10-24 13:43:17,0.343s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_AsiaEuropeAfricaAustraliaSouth Ameri_982c86""), ""North America"", true)",Chrome 106.0.0.0,,,2022-10-24 13:43:17,2022-10-24 13:43:18,1.120s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""Browser Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:43:18,2022-10-24 13:43:19,0.989s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""WebElement Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:43:19,2022-10-24 13:43:20,1.050s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/btnSubmit""))",Chrome 106.0.0.0,,,2022-10-24 13:43:20,2022-10-24 13:43:20,0.334s,PASSED
"verifyElementPresent(findTestObject(""Page_FillUpForm/btnSubmit""), 3)",Chrome 106.0.0.0,,,2022-10-24 13:43:20,2022-10-24 13:43:21,0.982s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 13:43:21,2022-10-24 13:43:42,20.841s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 13:43:21,2022-10-24 13:43:27,5.859s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 13:43:27,2022-10-24 13:43:27,0.145s,PASSED
