Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke_Datafiles,Firefox 103.0,,,2022-10-25 14:26:27,2022-10-25 14:28:04,1m - 36.941s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Firefox 103.0,,,2022-10-25 14:26:28,2022-10-25 14:27:16,48.384s,PASSED
openBrowser(url_form),Firefox 103.0,,,2022-10-25 14:26:28,2022-10-25 14:27:04,36.517s,PASSED
maximizeWindow(),Firefox 103.0,,,2022-10-25 14:27:04,2022-10-25 14:27:05,0.277s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.052s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.037s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.043s,PASSED
"input_Gender = findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.040s,PASSED
"radio_YoE = findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.030s,PASSED
"radio_Automation = findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.032s,PASSED
"radio_Manual = findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.031s,PASSED
"radio_Selenium = findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool"")",Firefox 103.0,,,2022-10-25 14:27:05,2022-10-25 14:27:05,0.035s,PASSED
