Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke_Datafiles,Chrome 106.0.0.0,,,2022-10-24 13:44:22,2022-10-24 13:45:43,1m - 20.663s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 13:44:23,2022-10-24 13:44:43,20.427s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 13:44:23,2022-10-24 13:44:29,6.559s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 13:44:29,2022-10-24 13:44:30,0.138s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Chrome 106.0.0.0,,,2022-10-24 13:44:30,2022-10-24 13:44:30,0.047s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Chrome 106.0.0.0,,,2022-10-24 13:44:30,2022-10-24 13:44:30,0.034s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Chrome 106.0.0.0,,,2022-10-24 13:44:30,2022-10-24 13:44:30,0.035s,PASSED
"setText(input_FirstName, ""Guillermo"")",Chrome 106.0.0.0,,,2022-10-24 13:44:30,2022-10-24 13:44:30,0.632s,PASSED
"setText(input_LastName, ""Perez"")",Chrome 106.0.0.0,,,2022-10-24 13:44:30,2022-10-24 13:44:36,5.751s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex""))",Chrome 106.0.0.0,,,2022-10-24 13:44:36,2022-10-24 13:44:36,0.448s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp""))",Chrome 106.0.0.0,,,2022-10-24 13:44:36,2022-10-24 13:44:37,0.361s,PASSED
"setText(input_Date, ""14/07/1993"")",Chrome 106.0.0.0,,,2022-10-24 13:44:37,2022-10-24 13:44:37,0.615s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession""))",Chrome 106.0.0.0,,,2022-10-24 13:44:37,2022-10-24 13:44:38,0.463s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1""))",Chrome 106.0.0.0,,,2022-10-24 13:44:38,2022-10-24 13:44:38,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool""))",Chrome 106.0.0.0,,,2022-10-24 13:44:38,2022-10-24 13:44:39,0.359s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_AsiaEuropeAfricaAustraliaSouth Ameri_982c86""), ""North America"", true)",Chrome 106.0.0.0,,,2022-10-24 13:44:39,2022-10-24 13:44:40,1.118s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""Browser Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:44:40,2022-10-24 13:44:41,0.981s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""WebElement Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:44:41,2022-10-24 13:44:42,1.037s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/btnSubmit""))",Chrome 106.0.0.0,,,2022-10-24 13:44:42,2022-10-24 13:44:42,0.333s,PASSED
"verifyElementPresent(findTestObject(""Page_FillUpForm/btnSubmit""), 3)",Chrome 106.0.0.0,,,2022-10-24 13:44:42,2022-10-24 13:44:43,0.849s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 13:44:43,2022-10-24 13:45:05,21.781s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 13:44:43,2022-10-24 13:44:49,5.812s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 13:44:49,2022-10-24 13:44:49,0.135s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Chrome 106.0.0.0,,,2022-10-24 13:44:49,2022-10-24 13:44:49,0.034s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Chrome 106.0.0.0,,,2022-10-24 13:44:49,2022-10-24 13:44:49,0.036s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Chrome 106.0.0.0,,,2022-10-24 13:44:49,2022-10-24 13:44:49,0.037s,PASSED
"setText(input_FirstName, ""Guillermo"")",Chrome 106.0.0.0,,,2022-10-24 13:44:49,2022-10-24 13:44:50,1.262s,PASSED
"setText(input_LastName, ""Perez"")",Chrome 106.0.0.0,,,2022-10-24 13:44:50,2022-10-24 13:44:55,4.929s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex""))",Chrome 106.0.0.0,,,2022-10-24 13:44:55,2022-10-24 13:44:57,1.846s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp""))",Chrome 106.0.0.0,,,2022-10-24 13:44:57,2022-10-24 13:44:58,0.428s,PASSED
