Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(input_Date, ""14/07/1993"")",Chrome 106.0.0.0,,,2022-10-24 13:44:58,2022-10-24 13:44:59,1.895s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession""))",Chrome 106.0.0.0,,,2022-10-24 13:44:59,2022-10-24 13:45:00,0.683s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1""))",Chrome 106.0.0.0,,,2022-10-24 13:45:00,2022-10-24 13:45:00,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool""))",Chrome 106.0.0.0,,,2022-10-24 13:45:00,2022-10-24 13:45:01,0.342s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_AsiaEuropeAfricaAustraliaSouth Ameri_982c86""), ""North America"", true)",Chrome 106.0.0.0,,,2022-10-24 13:45:01,2022-10-24 13:45:02,1.256s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""Browser Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:45:02,2022-10-24 13:45:03,0.990s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""WebElement Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:45:03,2022-10-24 13:45:04,1.058s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/btnSubmit""))",Chrome 106.0.0.0,,,2022-10-24 13:45:04,2022-10-24 13:45:04,0.350s,PASSED
"verifyElementPresent(findTestObject(""Page_FillUpForm/btnSubmit""), 3)",Chrome 106.0.0.0,,,2022-10-24 13:45:04,2022-10-24 13:45:05,0.313s,PASSED
,,,,,,,
Test Cases/Form/Test_FillUpForm with DataFiles,Chrome 106.0.0.0,,,2022-10-24 13:45:05,2022-10-24 13:45:43,38.133s,PASSED
openBrowser(url_form),Chrome 106.0.0.0,,,2022-10-24 13:45:05,2022-10-24 13:45:32,26.674s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-24 13:45:32,2022-10-24 13:45:32,0.142s,PASSED
"input_FirstName = findTestObject(""Object Repository/Page_FillUpForm/input_FirstName"")",Chrome 106.0.0.0,,,2022-10-24 13:45:32,2022-10-24 13:45:32,0.035s,PASSED
"input_LastName = findTestObject(""Object Repository/Page_FillUpForm/input_Last name_lastname"")",Chrome 106.0.0.0,,,2022-10-24 13:45:32,2022-10-24 13:45:32,0.036s,PASSED
"input_Date = findTestObject(""Object Repository/Page_FillUpForm/input_Date_datepicker"")",Chrome 106.0.0.0,,,2022-10-24 13:45:32,2022-10-24 13:45:32,0.034s,PASSED
"setText(input_FirstName, ""Guillermo"")",Chrome 106.0.0.0,,,2022-10-24 13:45:32,2022-10-24 13:45:33,1.167s,PASSED
"setText(input_LastName, ""Perez"")",Chrome 106.0.0.0,,,2022-10-24 13:45:33,2022-10-24 13:45:34,0.625s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Gender_sex""))",Chrome 106.0.0.0,,,2022-10-24 13:45:34,2022-10-24 13:45:34,0.336s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Years of Experience_exp""))",Chrome 106.0.0.0,,,2022-10-24 13:45:34,2022-10-24 13:45:34,0.347s,PASSED
"setText(input_Date, ""14/07/1993"")",Chrome 106.0.0.0,,,2022-10-24 13:45:34,2022-10-24 13:45:35,0.630s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession""))",Chrome 106.0.0.0,,,2022-10-24 13:45:35,2022-10-24 13:45:35,0.353s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Profession_profession_1""))",Chrome 106.0.0.0,,,2022-10-24 13:45:35,2022-10-24 13:45:36,0.354s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/input_Automation Tools_tool""))",Chrome 106.0.0.0,,,2022-10-24 13:45:36,2022-10-24 13:45:36,0.333s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_AsiaEuropeAfricaAustraliaSouth Ameri_982c86""), ""North America"", true)",Chrome 106.0.0.0,,,2022-10-24 13:45:36,2022-10-24 13:45:37,1.118s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""Browser Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:45:37,2022-10-24 13:45:39,1.752s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_FillUpForm/select_Browser CommandsNavigation CommandsS_69f390""), ""WebElement Commands"", true)",Chrome 106.0.0.0,,,2022-10-24 13:45:39,2022-10-24 13:45:41,1.836s,PASSED
"click(findTestObject(""Object Repository/Page_FillUpForm/btnSubmit""))",Chrome 106.0.0.0,,,2022-10-24 13:45:41,2022-10-24 13:45:41,0.351s,PASSED
"verifyElementPresent(findTestObject(""Page_FillUpForm/btnSubmit""), 3)",Chrome 106.0.0.0,,,2022-10-24 13:45:41,2022-10-24 13:45:43,1.985s,PASSED
